Iteration	Residual force		Lower end force		Upper end force 
iteration0000	     24.17115947	     24.17115947	     22.06988993 
iteration0001	     17.50635455	     17.50635455	     16.78776175 
iteration0002	     13.50314668	     13.50314668	     12.90825180 
iteration0003	     10.21147485	     10.21147485	      9.67535340 
iteration0004	      7.59390047	      7.59390047	      7.14467933 
iteration0005	      5.60807270	      5.60807270	      5.24000699 
iteration0006	      4.13277850	      4.13277850	      3.86772754 
iteration0007	      3.34147989	      3.34147989	      3.31790648 
iteration0008	      2.88414402	      2.88414402	      2.83234114 
iteration0009	      2.41620923	      2.41620923	      2.38940306 
iteration0010	      1.65885972	      1.65885972	      1.64000392 
iteration0011	      0.98084405	      0.98084405	      0.94659312 
iteration0012	      0.86920831	      0.86920831	      0.78625882 
iteration0013	      0.72110404	      0.72110404	      0.59744070 
iteration0014	      0.54525361	      0.54525361	      0.46703752 
iteration0015	      0.61646578	      0.61646578	      0.56139340 
iteration0016	      0.50512517	      0.50512517	      0.46460763 
iteration0017	      0.26209134	      0.26209134	      0.20896955 
iteration0018	     10.96587625	      0.22261090	     10.96587625 
iteration0019	     11.26300696	     11.26300696	      7.33242555 
iteration0020	      7.63353775	      7.63353775	      4.90164760 
iteration0021	      5.10366489	      5.10366489	      3.04527075 
iteration0022	      3.15376940	      3.15376940	      1.85831866 
iteration0023	      1.75638378	      1.75638378	      1.63504665 
iteration0024	      1.63266396	      1.63266396	      1.28187606 
iteration0025	      1.26234281	      1.26234281	      0.61279327 
iteration0026	      0.67106936	      0.67106936	      0.44350445 
iteration0027	      0.59567365	      0.59567365	      0.36554399 
iteration0028	      0.51771090	      0.51771090	      0.34959412 
iteration0029	      0.41085902	      0.41085902	      0.37167310 
iteration0030	      0.33909042	      0.33909042	      0.25746061 
iteration0031	      0.31508707	      0.31508707	      0.16766321 
iteration0032	     14.37989475	      0.28939903	     14.37989475 
iteration0033	     10.18786978	      0.26330016	     10.18786978 
iteration0034	      7.19366429	      0.27246197	      7.19366429 
iteration0035	      4.76006609	      0.27549233	      4.76006609 
iteration0036	      3.03210633	      0.26797877	      3.03210633 
iteration0037	      2.03535630	      0.24524214	      2.03535630 
iteration0038	      1.95178693	      0.22059331	      1.95178693 
iteration0039	     17.97234078	     17.97234078	      1.47978584 
iteration0040	     13.13965195	     13.13965195	      0.69933277 
iteration0041	      9.46315776	      9.46315776	      0.46376209 
iteration0042	      6.50116977	      6.50116977	      0.37125084 
iteration0043	      4.27419159	      4.27419159	      0.34419703 
iteration0044	      2.60661522	      2.60661522	      0.37598300 
iteration0045	      2.14314211	      2.14314211	      0.29732759 
iteration0046	      1.81827076	      1.81827076	      0.18573037 
iteration0047	     19.30138287	      1.12423677	     19.30138287 
iteration0048	     13.63153960	      0.65425466	     13.63153960 
iteration0049	      9.84886155	      0.40614493	      9.84886155 
iteration0050	      6.69691783	      0.31927024	      6.69691783 
iteration0051	      4.41756971	      0.41786332	      4.41756971 
iteration0052	      2.97334254	      0.36898551	      2.97334254 
iteration0053	      2.13044367	      0.26199102	      2.13044367 
iteration0054	      1.76903239	      0.25251170	      1.76903239 
iteration0055	      1.03509198	      0.24589457	      1.03509198 
iteration0056	      0.53456084	      0.23770340	      0.53456084 
iteration0057	      0.37739173	      0.22598601	      0.37739173 
iteration0058	      0.28984234	      0.21015871	      0.28984234 
iteration0059	     19.43751019	     19.43751019	      0.40722819 
iteration0060	     13.25694558	     13.25694558	      0.40703493 
iteration0061	      9.53333658	      9.53333658	      0.29423500 
iteration0062	      6.30262461	      6.30262461	      0.21102472 
iteration0063	     14.16354355	      3.94102285	     14.16354355 
iteration0064	      8.99902186	      2.51513621	      8.99902186 
iteration0065	      6.27188480	      1.72255124	      6.27188480 
iteration0066	      4.03839319	      1.21143020	      4.03839319 
iteration0067	      2.75124718	      0.73070726	      2.75124718 
iteration0068	      1.80560465	      0.60366332	      1.80560465 
iteration0069	      1.22439603	      0.39825635	      1.22439603 
iteration0070	      0.53851018	      0.39119679	      0.53851018 
iteration0071	      0.52126928	      0.40298433	      0.52126928 
iteration0072	      0.40588843	      0.32802618	      0.40588843 
iteration0073	      0.36300142	      0.29243089	      0.36300142 
iteration0074	      0.31958615	      0.25801226	      0.31958615 
iteration0075	      0.30605310	      0.22547308	      0.30605310 
iteration0076	      0.29409361	      0.20701690	      0.29409361 
Path is grown.
