#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.177741388114 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.3880000000     -5.72142783      0.9884652700E+00
  -0.3879000000     -5.71870669      0.9894839936E+00
  -0.3878000000     -5.71598555      0.9904164133E+00
  -0.3877000000     -5.71326441      0.9912686025E+00
  -0.3876000000     -5.71054327      0.9920463045E+00
  -0.3875000000     -5.70782214      0.9927549395E+00
  -0.3874000000     -5.70510100      0.9933996121E+00
  -0.3873000000     -5.70237986      0.9939851200E+00
  -0.3872000000     -5.69965872      0.9945159623E+00
  -0.3871000000     -5.69693758      0.9949963491E+00
  -0.3870000000     -5.69421644      0.9954302097E+00
  -0.3869000000     -5.69149530      0.9958212027E+00
  -0.3868000000     -5.68877417      0.9961727238E+00
  -0.3867000000     -5.68605303      0.9964879152E+00
  -0.3866000000     -5.68333189      0.9967696734E+00
  -0.3865000000     -5.68061075      0.9970206565E+00
  -0.3864000000     -5.67788961      0.9972432907E+00
  -0.3863000000     -5.67516847      0.9974397757E+00
  -0.3862000000     -5.67244734      0.9976120878E+00
  -0.3861000000     -5.66972620      0.9977619817E+00
  -0.3860000000     -5.66700506      0.9978909879E+00
  -0.3859000000     -5.66428392      0.9980004064E+00
  -0.3858000000     -5.66156278      0.9980912942E+00
  -0.3857000000     -5.65884164      0.9981644421E+00
  -0.3856000000     -5.65612051      0.9982203388E+00
  -0.3855000000     -5.65339937      0.9982591110E+00
  -0.3854000000     -5.65067823      0.9982804284E+00
  -0.3853000000     -5.64795709      0.9982833478E+00
  -0.3852000000     -5.64523595      0.9982660511E+00
  -0.3851000000     -5.64251481      0.9982253898E+00
  -0.3850000000     -5.63979368      0.9981560488E+00
  -0.3849000000     -5.63707254      0.9980489169E+00
  -0.3848000000     -5.63435140      0.9978876322E+00
  -0.3847000000     -5.63163026      0.9976404281E+00
  -0.3846000000     -5.62890912      0.9972378113E+00
  -0.3845000000     -5.62618798      0.9964967195E+00
  -0.3844000000     -5.62346684      0.9947538604E+00
  -0.3843000000     -5.62074571      0.9871590061E+00
  -0.3842000000     -5.61802457      0.7520273100E+00
  -0.3841000000     -5.61530343      0.9994112175E+00
  -0.3840000000     -5.61258229      0.1000093940E+01
  -0.3839000000     -5.60986115      0.9998375321E+00
  -0.3838000000     -5.60714001      0.9995776067E+00
  -0.3837000000     -5.60441888      0.9993554343E+00
  -0.3836000000     -5.60169774      0.9991610196E+00
  -0.3835000000     -5.59897660      0.9989837811E+00
  -0.3834000000     -5.59625546      0.9988162040E+00
  -0.3833000000     -5.59353432      0.9986531469E+00
  -0.3832000000     -5.59081318      0.9984910268E+00
  -0.3831000000     -5.58809205      0.9983272668E+00
  -0.3830000000     -5.58537091      0.9981599502E+00
  -0.3829000000     -5.58264977      0.9979876041E+00
  -0.3828000000     -5.57992863      0.9978090621E+00
  -0.3827000000     -5.57720749      0.9976233755E+00
  -0.3826000000     -5.57448635      0.9974297546E+00
  -0.3825000000     -5.57176522      0.9972275295E+00
  -0.3824000000     -5.56904408      0.9970161224E+00
  -0.3823000000     -5.56632294      0.9967950292E+00
  -0.3822000000     -5.56360180      0.9965638063E+00
  -0.3821000000     -5.56088066      0.9963220607E+00
  -0.3820000000     -5.55815952      0.9960694437E+00
  -0.3819000000     -5.55543838      0.9958056458E+00
  -0.3818000000     -5.55271725      0.9955303931E+00
  -0.3817000000     -5.54999611      0.9952434449E+00
  -0.3816000000     -5.54727497      0.9949445916E+00
  -0.3815000000     -5.54455383      0.9946336534E+00
  -0.3814000000     -5.54183269      0.9943104794E+00
  -0.3813000000     -5.53911155      0.9939749465E+00
  -0.3812000000     -5.53639042      0.9936269590E+00
  -0.3811000000     -5.53366928      0.9932664484E+00
  -0.3810000000     -5.53094814      0.9928933725E+00
  -0.3809000000     -5.52822700      0.9925077154E+00
  -0.3808000000     -5.52550586      0.9921094872E+00
  -0.3807000000     -5.52278472      0.9916987236E+00
  -0.3806000000     -5.52006359      0.9912754858E+00
  -0.3805000000     -5.51734245      0.9908398601E+00
  -0.3804000000     -5.51462131      0.9903919573E+00
  -0.3803000000     -5.51190017      0.9899319131E+00
  -0.3802000000     -5.50917903      0.9894598871E+00
  -0.3801000000     -5.50645789      0.9889760625E+00
  -0.3800000000     -5.50373676      0.9884806459E+00
  -0.3799000000     -5.50101562      0.9879738668E+00
  -0.3798000000     -5.49829448      0.9874559769E+00
  -0.3797000000     -5.49557334      0.9869272498E+00
  -0.3796000000     -5.49285220      0.9863879804E+00
  -0.3795000000     -5.49013106      0.9858384843E+00
  -0.3794000000     -5.48740992      0.9852790970E+00
  -0.3793000000     -5.48468879      0.9847101737E+00
  -0.3792000000     -5.48196765      0.9841320882E+00
  -0.3791000000     -5.47924651      0.9835452324E+00
  -0.3790000000     -5.47652537      0.9829500157E+00
  -0.3789000000     -5.47380423      0.9823468639E+00
  -0.3788000000     -5.47108309      0.9817362190E+00
  -0.3787000000     -5.46836196      0.9811185379E+00
  -0.3786000000     -5.46564082      0.9804942919E+00
  -0.3785000000     -5.46291968      0.9798639660E+00
  -0.3784000000     -5.46019854      0.9792280577E+00
  -0.3783000000     -5.45747740      0.9785870766E+00
  -0.3782000000     -5.45475626      0.9779415435E+00
  -0.3781000000     -5.45203513      0.9772919894E+00
  -0.3780000000     -5.44931399      0.9766389548E+00
  -0.3779000000     -5.44659285      0.9759829889E+00
  -0.3778000000     -5.44387171      0.9753246488E+00
  -0.3777000000     -5.44115057      0.9746644985E+00
  -0.3776000000     -5.43842943      0.9740031083E+00
  -0.3775000000     -5.43570830      0.9733410539E+00
  -0.3774000000     -5.43298716      0.9726789157E+00
  -0.3773000000     -5.43026602      0.9720172777E+00
  -0.3772000000     -5.42754488      0.9713567272E+00
  -0.3771000000     -5.42482374      0.9706978535E+00
  -0.3770000000     -5.42210260      0.9700412477E+00
  -0.3769000000     -5.41938146      0.9693875013E+00
  -0.3768000000     -5.41666033      0.9687372062E+00
  -0.3767000000     -5.41393919      0.9680909534E+00
  -0.3766000000     -5.41121805      0.9674493325E+00
  -0.3765000000     -5.40849691      0.9668129313E+00
  -0.3764000000     -5.40577577      0.9661823345E+00
  -0.3763000000     -5.40305463      0.9655581236E+00
  -0.3762000000     -5.40033350      0.9649408761E+00
  -0.3761000000     -5.39761236      0.9643311648E+00
  -0.3760000000     -5.39489122      0.9637295573E+00
  -0.3759000000     -5.39217008      0.9631366156E+00
  -0.3758000000     -5.38944894      0.9625528949E+00
  -0.3757000000     -5.38672780      0.9619789440E+00
  -0.3756000000     -5.38400667      0.9614153038E+00
  -0.3755000000     -5.38128553      0.9608625077E+00
  -0.3754000000     -5.37856439      0.9603210805E+00
  -0.3753000000     -5.37584325      0.9597915382E+00
  -0.3752000000     -5.37312211      0.9592743875E+00
  -0.3751000000     -5.37040097      0.9587701253E+00
  -0.3750000000     -5.36767984      0.9582792384E+00
  -0.3749000000     -5.36495870      0.9578022032E+00
  -0.3748000000     -5.36223756      0.9573394850E+00
  -0.3747000000     -5.35951642      0.9568915381E+00
  -0.3746000000     -5.35679528      0.9564588049E+00
  -0.3745000000     -5.35407414      0.9560417162E+00
  -0.3744000000     -5.35135300      0.9556406905E+00
  -0.3743000000     -5.34863187      0.9552561337E+00
  -0.3742000000     -5.34591073      0.9548884391E+00
  -0.3741000000     -5.34318959      0.9545379867E+00
  -0.3740000000     -5.34046845      0.9542051436E+00
  -0.3739000000     -5.33774731      0.9538902631E+00
  -0.3738000000     -5.33502617      0.9535936849E+00
  -0.3737000000     -5.33230504      0.9533157347E+00
  -0.3736000000     -5.32958390      0.9530567243E+00
  -0.3735000000     -5.32686276      0.9528169509E+00
  -0.3734000000     -5.32414162      0.9525966974E+00
  -0.3733000000     -5.32142048      0.9523962321E+00
  -0.3732000000     -5.31869934      0.9522158084E+00
  -0.3731000000     -5.31597821      0.9520556649E+00
  -0.3730000000     -5.31325707      0.9519160252E+00
  -0.3729000000     -5.31053593      0.9517970976E+00
  -0.3728000000     -5.30781479      0.9516990753E+00
  -0.3727000000     -5.30509365      0.9516221358E+00
  -0.3726000000     -5.30237251      0.9515664416E+00
  -0.3725000000     -5.29965138      0.9515321393E+00
  -0.3724000000     -5.29693024      0.9515193601E+00
  -0.3723000000     -5.29420910      0.9515282191E+00
  -0.3722000000     -5.29148796      0.9515588162E+00
  -0.3721000000     -5.28876682      0.9516112350E+00
  -0.3720000000     -5.28604568      0.9516855434E+00
  -0.3719000000     -5.28332454      0.9517817933E+00
  -0.3718000000     -5.28060341      0.9519000207E+00
  -0.3717000000     -5.27788227      0.9520402456E+00
  -0.3716000000     -5.27516113      0.9522024719E+00
  -0.3715000000     -5.27243999      0.9523866873E+00
  -0.3714000000     -5.26971885      0.9525928635E+00
  -0.3713000000     -5.26699771      0.9528209563E+00
  -0.3712000000     -5.26427658      0.9530709049E+00
  -0.3711000000     -5.26155544      0.9533426329E+00
  -0.3710000000     -5.25883430      0.9536360473E+00
  -0.3709000000     -5.25611316      0.9539510393E+00
  -0.3708000000     -5.25339202      0.9542874838E+00
  -0.3707000000     -5.25067088      0.9546452397E+00
  -0.3706000000     -5.24794975      0.9550241496E+00
  -0.3705000000     -5.24522861      0.9554240403E+00
  -0.3704000000     -5.24250747      0.9558447224E+00
  -0.3703000000     -5.23978633      0.9562859906E+00
  -0.3702000000     -5.23706519      0.9567476236E+00
  -0.3701000000     -5.23434405      0.9572293843E+00
  -0.3700000000     -5.23162292      0.9577310196E+00
  -0.3699000000     -5.22890178      0.9582522608E+00
  -0.3698000000     -5.22618064      0.9587928235E+00
  -0.3697000000     -5.22345950      0.9593524077E+00
  -0.3696000000     -5.22073836      0.9599306978E+00
  -0.3695000000     -5.21801722      0.9605273630E+00
  -0.3694000000     -5.21529608      0.9611420571E+00
  -0.3693000000     -5.21257495      0.9617744190E+00
  -0.3692000000     -5.20985381      0.9624240724E+00
  -0.3691000000     -5.20713267      0.9630906264E+00
  -0.3690000000     -5.20441153      0.9637736753E+00
  -0.3689000000     -5.20169039      0.9644727991E+00
  -0.3688000000     -5.19896925      0.9651875637E+00
  -0.3687000000     -5.19624812      0.9659175209E+00
  -0.3686000000     -5.19352698      0.9666622089E+00
  -0.3685000000     -5.19080584      0.9674211525E+00
  -0.3684000000     -5.18808470      0.9681938633E+00
  -0.3683000000     -5.18536356      0.9689798405E+00
  -0.3682000000     -5.18264242      0.9697785705E+00
  -0.3681000000     -5.17992129      0.9705895281E+00
  -0.3680000000     -5.17720015      0.9714121764E+00
