#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.172517414142 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.3880000000     -5.86357939      0.1900202442E+00
  -0.3879000000     -5.86085825      0.1874100198E+00
  -0.3878000000     -5.85813711      0.1848078415E+00
  -0.3877000000     -5.85541597      0.1822119664E+00
  -0.3876000000     -5.85269484      0.1796206787E+00
  -0.3875000000     -5.84997370      0.1770322900E+00
  -0.3874000000     -5.84725256      0.1744451407E+00
  -0.3873000000     -5.84453142      0.1718576022E+00
  -0.3872000000     -5.84181028      0.1692680778E+00
  -0.3871000000     -5.83908914      0.1666750056E+00
  -0.3870000000     -5.83636801      0.1640768610E+00
  -0.3869000000     -5.83364687      0.1614721594E+00
  -0.3868000000     -5.83092573      0.1588594597E+00
  -0.3867000000     -5.82820459      0.1562373682E+00
  -0.3866000000     -5.82548345      0.1536045430E+00
  -0.3865000000     -5.82276231      0.1509596987E+00
  -0.3864000000     -5.82004117      0.1483016121E+00
  -0.3863000000     -5.81732004      0.1456291279E+00
  -0.3862000000     -5.81459890      0.1429411662E+00
  -0.3861000000     -5.81187776      0.1402367294E+00
  -0.3860000000     -5.80915662      0.1375149109E+00
  -0.3859000000     -5.80643548      0.1347749040E+00
  -0.3858000000     -5.80371434      0.1320160125E+00
  -0.3857000000     -5.80099321      0.1292376614E+00
  -0.3856000000     -5.79827207      0.1264394096E+00
  -0.3855000000     -5.79555093      0.1236209627E+00
  -0.3854000000     -5.79282979      0.1207821884E+00
  -0.3853000000     -5.79010865      0.1179231318E+00
  -0.3852000000     -5.78738751      0.1150440334E+00
  -0.3851000000     -5.78466638      0.1121453476E+00
  -0.3850000000     -5.78194524      0.1092277637E+00
  -0.3849000000     -5.77922410      0.1062922279E+00
  -0.3848000000     -5.77650296      0.1033399678E+00
  -0.3847000000     -5.77378182      0.1003725183E+00
  -0.3846000000     -5.77106068      0.9739174978E-01
  -0.3845000000     -5.76833955      0.9439989877E-01
  -0.3844000000     -5.76561841      0.9139960041E-01
  -0.3843000000     -5.76289727      0.8839392370E-01
  -0.3842000000     -5.76017613      0.8538640916E-01
  -0.3841000000     -5.75745499      0.8238110931E-01
  -0.3840000000     -5.75473385      0.7938263192E-01
  -0.3839000000     -5.75201271      0.7639618652E-01
  -0.3838000000     -5.74929158      0.7342763411E-01
  -0.3837000000     -5.74657044      0.7048354073E-01
  -0.3836000000     -5.74384930      0.6757123528E-01
  -0.3835000000     -5.74112816      0.6469887236E-01
  -0.3834000000     -5.73840702      0.6187550140E-01
  -0.3833000000     -5.73568588      0.5911114389E-01
  -0.3832000000     -5.73296475      0.5641688166E-01
  -0.3831000000     -5.73024361      0.5380496081E-01
  -0.3830000000     -5.72752247      0.5128891913E-01
  -0.3829000000     -5.72480133      0.4888374942E-01
  -0.3828000000     -5.72208019      0.4660612032E-01
  -0.3827000000     -5.71935905      0.4447469175E-01
  -0.3826000000     -5.71663792      0.4251059138E-01
  -0.3825000000     -5.71391678      0.4073817516E-01
  -0.3824000000     -5.71119564      0.3918630943E-01
  -0.3823000000     -5.70847450      0.3789065677E-01
  -0.3822000000     -5.70575336      0.3689800564E-01
  -0.3821000000     -5.70303222      0.3627505835E-01
  -0.3820000000     -5.70031109      0.3612781453E-01
  -0.3819000000     -5.69758995      0.3664905286E-01
  -0.3818000000     -5.69486881      0.3825195708E-01
  -0.3817000000     -5.69214767      0.4202703437E-01
  -0.3816000000     -5.68942653      0.5184757374E-01
  -0.3815000000     -5.68670539      0.9092341055E-01
  -0.3814000000     -5.68398425      0.6345741095E+00
  -0.3813000000     -5.68126312      0.1827889623E+00
  -0.3812000000     -5.67854198      0.7186381813E-01
  -0.3811000000     -5.67582084      0.5706144662E-01
  -0.3810000000     -5.67309970      0.5477421213E-01
  -0.3809000000     -5.67037856      0.5625589700E-01
  -0.3808000000     -5.66765742      0.5953632011E-01
  -0.3807000000     -5.66493629      0.6398568780E-01
  -0.3806000000     -5.66221515      0.6935932248E-01
  -0.3805000000     -5.65949401      0.7555019722E-01
  -0.3804000000     -5.65677287      0.8250749590E-01
  -0.3803000000     -5.65405173      0.9020494382E-01
  -0.3802000000     -5.65133059      0.9862683603E-01
  -0.3801000000     -5.64860946      0.1077612214E+00
  -0.3800000000     -5.64588832      0.1175962958E+00
  -0.3799000000     -5.64316718      0.1281183725E+00
  -0.3798000000     -5.64044604      0.1393106974E+00
  -0.3797000000     -5.63772490      0.1511527610E+00
  -0.3796000000     -5.63500376      0.1636199307E+00
  -0.3795000000     -5.63228263      0.1766833094E+00
  -0.3794000000     -5.62956149      0.1903097663E+00
  -0.3793000000     -5.62684035      0.2044621088E+00
  -0.3792000000     -5.62411921      0.2190993686E+00
  -0.3791000000     -5.62139807      0.2341771870E+00
  -0.3790000000     -5.61867693      0.2496482778E+00
  -0.3789000000     -5.61595579      0.2654629547E+00
  -0.3788000000     -5.61323466      0.2815697036E+00
  -0.3787000000     -5.61051352      0.2979157840E+00
  -0.3786000000     -5.60779238      0.3144478422E+00
  -0.3785000000     -5.60507124      0.3311125205E+00
  -0.3784000000     -5.60235010      0.3478570471E+00
  -0.3783000000     -5.59962896      0.3646297927E+00
  -0.3782000000     -5.59690783      0.3813807836E+00
  -0.3781000000     -5.59418669      0.3980621599E+00
  -0.3780000000     -5.59146555      0.4146285736E+00
  -0.3779000000     -5.58874441      0.4310375207E+00
  -0.3778000000     -5.58602327      0.4472496061E+00
  -0.3777000000     -5.58330213      0.4632287405E+00
  -0.3776000000     -5.58058100      0.4789422710E+00
  -0.3775000000     -5.57785986      0.4943610503E+00
  -0.3774000000     -5.57513872      0.5094594479E+00
  -0.3773000000     -5.57241758      0.5242153097E+00
  -0.3772000000     -5.56969644      0.5386098732E+00
  -0.3771000000     -5.56697530      0.5526276436E+00
  -0.3770000000     -5.56425417      0.5662562393E+00
  -0.3769000000     -5.56153303      0.5794862129E+00
  -0.3768000000     -5.55881189      0.5923108538E+00
  -0.3767000000     -5.55609075      0.6047259786E+00
  -0.3766000000     -5.55336961      0.6167297148E+00
  -0.3765000000     -5.55064847      0.6283222818E+00
  -0.3764000000     -5.54792733      0.6395057743E+00
  -0.3763000000     -5.54520620      0.6502839501E+00
  -0.3762000000     -5.54248506      0.6606620257E+00
  -0.3761000000     -5.53976392      0.6706464821E+00
  -0.3760000000     -5.53704278      0.6802448814E+00
  -0.3759000000     -5.53432164      0.6894656962E+00
  -0.3758000000     -5.53160050      0.6983181516E+00
  -0.3757000000     -5.52887937      0.7068120806E+00
  -0.3756000000     -5.52615823      0.7149577932E+00
  -0.3755000000     -5.52343709      0.7227659578E+00
  -0.3754000000     -5.52071595      0.7302474957E+00
  -0.3753000000     -5.51799481      0.7374134873E+00
  -0.3752000000     -5.51527367      0.7442750899E+00
  -0.3751000000     -5.51255254      0.7508434658E+00
  -0.3750000000     -5.50983140      0.7571297200E+00
  -0.3749000000     -5.50711026      0.7631448476E+00
  -0.3748000000     -5.50438912      0.7688996886E+00
  -0.3747000000     -5.50166798      0.7744048905E+00
  -0.3746000000     -5.49894684      0.7796708774E+00
  -0.3745000000     -5.49622571      0.7847078250E+00
  -0.3744000000     -5.49350457      0.7895256411E+00
  -0.3743000000     -5.49078343      0.7941339504E+00
  -0.3742000000     -5.48806229      0.7985420838E+00
  -0.3741000000     -5.48534115      0.8027590705E+00
  -0.3740000000     -5.48262001      0.8067936340E+00
  -0.3739000000     -5.47989887      0.8106541902E+00
  -0.3738000000     -5.47717774      0.8143488478E+00
  -0.3737000000     -5.47445660      0.8178854105E+00
  -0.3736000000     -5.47173546      0.8212713814E+00
  -0.3735000000     -5.46901432      0.8245139675E+00
  -0.3734000000     -5.46629318      0.8276200864E+00
  -0.3733000000     -5.46357204      0.8305963730E+00
  -0.3732000000     -5.46085091      0.8334491876E+00
  -0.3731000000     -5.45812977      0.8361846238E+00
  -0.3730000000     -5.45540863      0.8388085170E+00
  -0.3729000000     -5.45268749      0.8413264533E+00
  -0.3728000000     -5.44996635      0.8437437787E+00
  -0.3727000000     -5.44724521      0.8460656072E+00
  -0.3726000000     -5.44452408      0.8482968305E+00
  -0.3725000000     -5.44180294      0.8504421266E+00
  -0.3724000000     -5.43908180      0.8525059683E+00
  -0.3723000000     -5.43636066      0.8544926319E+00
  -0.3722000000     -5.43363952      0.8564062054E+00
  -0.3721000000     -5.43091838      0.8582505967E+00
  -0.3720000000     -5.42819725      0.8600295412E+00
  -0.3719000000     -5.42547611      0.8617466095E+00
  -0.3718000000     -5.42275497      0.8634052148E+00
  -0.3717000000     -5.42003383      0.8650086194E+00
  -0.3716000000     -5.41731269      0.8665599422E+00
  -0.3715000000     -5.41459155      0.8680621643E+00
  -0.3714000000     -5.41187041      0.8695181356E+00
  -0.3713000000     -5.40914928      0.8709305806E+00
  -0.3712000000     -5.40642814      0.8723021040E+00
  -0.3711000000     -5.40370700      0.8736351961E+00
  -0.3710000000     -5.40098586      0.8749322375E+00
  -0.3709000000     -5.39826472      0.8761955043E+00
  -0.3708000000     -5.39554358      0.8774271727E+00
  -0.3707000000     -5.39282245      0.8786293230E+00
  -0.3706000000     -5.39010131      0.8798039443E+00
  -0.3705000000     -5.38738017      0.8809529376E+00
  -0.3704000000     -5.38465903      0.8820781203E+00
  -0.3703000000     -5.38193789      0.8831812293E+00
  -0.3702000000     -5.37921675      0.8842639244E+00
  -0.3701000000     -5.37649562      0.8853277915E+00
  -0.3700000000     -5.37377448      0.8863743456E+00
  -0.3699000000     -5.37105334      0.8874050336E+00
  -0.3698000000     -5.36833220      0.8884212369E+00
  -0.3697000000     -5.36561106      0.8894242742E+00
  -0.3696000000     -5.36288992      0.8904154037E+00
  -0.3695000000     -5.36016879      0.8913958252E+00
  -0.3694000000     -5.35744765      0.8923666829E+00
  -0.3693000000     -5.35472651      0.8933290667E+00
  -0.3692000000     -5.35200537      0.8942840146E+00
  -0.3691000000     -5.34928423      0.8952325145E+00
  -0.3690000000     -5.34656309      0.8961755060E+00
  -0.3689000000     -5.34384195      0.8971138817E+00
  -0.3688000000     -5.34112082      0.8980484893E+00
  -0.3687000000     -5.33839968      0.8989801329E+00
  -0.3686000000     -5.33567854      0.8999095742E+00
  -0.3685000000     -5.33295740      0.9008375344E+00
  -0.3684000000     -5.33023626      0.9017646950E+00
  -0.3683000000     -5.32751512      0.9026916993E+00
  -0.3682000000     -5.32479399      0.9036191538E+00
  -0.3681000000     -5.32207285      0.9045476289E+00
  -0.3680000000     -5.31935171      0.9054776604E+00
  -0.3679000000     -5.31663057      0.9064097503E+00
  -0.3678000000     -5.31390943      0.9073443682E+00
  -0.3677000000     -5.31118829      0.9082819518E+00
  -0.3676000000     -5.30846716      0.9092229082E+00
  -0.3675000000     -5.30574602      0.9101676148E+00
  -0.3674000000     -5.30302488      0.9111164201E+00
  -0.3673000000     -5.30030374      0.9120696447E+00
  -0.3672000000     -5.29758260      0.9130275820E+00
  -0.3671000000     -5.29486146      0.9139904992E+00
  -0.3670000000     -5.29214033      0.9149586382E+00
  -0.3669000000     -5.28941919      0.9159322160E+00
  -0.3668000000     -5.28669805      0.9169114260E+00
  -0.3667000000     -5.28397691      0.9178964384E+00
  -0.3666000000     -5.28125577      0.9188874013E+00
  -0.3665000000     -5.27853463      0.9198844413E+00
  -0.3664000000     -5.27581349      0.9208876641E+00
  -0.3663000000     -5.27309236      0.9218971556E+00
  -0.3662000000     -5.27037122      0.9229129825E+00
  -0.3661000000     -5.26765008      0.9239351930E+00
  -0.3660000000     -5.26492894      0.9249638178E+00
  -0.3659000000     -5.26220780      0.9259988705E+00
  -0.3658000000     -5.25948666      0.9270403487E+00
  -0.3657000000     -5.25676553      0.9280882347E+00
  -0.3656000000     -5.25404439      0.9291424961E+00
  -0.3655000000     -5.25132325      0.9302030869E+00
  -0.3654000000     -5.24860211      0.9312699480E+00
  -0.3653000000     -5.24588097      0.9323430084E+00
  -0.3652000000     -5.24315983      0.9334221855E+00
  -0.3651000000     -5.24043870      0.9345073865E+00
  -0.3650000000     -5.23771756      0.9355985088E+00
  -0.3649000000     -5.23499642      0.9366954412E+00
  -0.3648000000     -5.23227528      0.9377980647E+00
  -0.3647000000     -5.22955414      0.9389062533E+00
  -0.3646000000     -5.22683300      0.9400198749E+00
  -0.3645000000     -5.22411187      0.9411387925E+00
  -0.3644000000     -5.22139073      0.9422628649E+00
  -0.3643000000     -5.21866959      0.9433919480E+00
  -0.3642000000     -5.21594845      0.9445258952E+00
  -0.3641000000     -5.21322731      0.9456645592E+00
  -0.3640000000     -5.21050617      0.9468077924E+00
  -0.3639000000     -5.20778503      0.9479554485E+00
  -0.3638000000     -5.20506390      0.9491073829E+00
  -0.3637000000     -5.20234276      0.9502634546E+00
  -0.3636000000     -5.19962162      0.9514235267E+00
  -0.3635000000     -5.19690048      0.9525874680E+00
  -0.3634000000     -5.19417934      0.9537551538E+00
  -0.3633000000     -5.19145820      0.9549264673E+00
  -0.3632000000     -5.18873707      0.9561013008E+00
  -0.3631000000     -5.18601593      0.9572795567E+00
  -0.3630000000     -5.18329479      0.9584611491E+00
  -0.3629000000     -5.18057365      0.9596460047E+00
  -0.3628000000     -5.17785251      0.9608340643E+00
  -0.3627000000     -5.17513137      0.9620252839E+00
  -0.3626000000     -5.17241024      0.9632196360E+00
  -0.3625000000     -5.16968910      0.9644171111E+00
  -0.3624000000     -5.16696796      0.9656177184E+00
  -0.3623000000     -5.16424682      0.9668214878E+00
  -0.3622000000     -5.16152568      0.9680284707E+00
  -0.3621000000     -5.15880454      0.9692387412E+00
  -0.3620000000     -5.15608341      0.9704523976E+00
  -0.3619000000     -5.15336227      0.9716695633E+00
  -0.3618000000     -5.15064113      0.9728903883E+00
  -0.3617000000     -5.14791999      0.9741150500E+00
  -0.3616000000     -5.14519885      0.9753437542E+00
  -0.3615000000     -5.14247771      0.9765767367E+00
  -0.3614000000     -5.13975657      0.9778142635E+00
  -0.3613000000     -5.13703544      0.9790566322E+00
  -0.3612000000     -5.13431430      0.9803041724E+00
  -0.3611000000     -5.13159316      0.9815572466E+00
  -0.3610000000     -5.12887202      0.9828162508E+00
  -0.3609000000     -5.12615088      0.9840816145E+00
  -0.3608000000     -5.12342974      0.9853538016E+00
  -0.3607000000     -5.12070861      0.9866333100E+00
  -0.3606000000     -5.11798747      0.9879206716E+00
  -0.3605000000     -5.11526633      0.9892164522E+00
  -0.3604000000     -5.11254519      0.9905212510E+00
  -0.3603000000     -5.10982405      0.9918356994E+00
  -0.3602000000     -5.10710291      0.9931604605E+00
  -0.3601000000     -5.10438178      0.9944962277E+00
  -0.3600000000     -5.10166064      0.9958437224E+00
  -0.3599000000     -5.09893950      0.9972036931E+00
  -0.3598000000     -5.09621836      0.9985769120E+00
  -0.3597000000     -5.09349722      0.9999641730E+00
  -0.3596000000     -5.09077608      0.1001366288E+01
